Fit #1
N3 Pars,Fit Value,Error
pB (%),0.191,0.047
pC (%),0.329,0.051
dwB (ppm),37.55,3.37
dwC (ppm),56.55,1.47
kexAB (s^-1),3171,650
kexAC (s^-1),4377,463
kexBC (s^-1),9168,1821
R1 (s^-1),2.14,0.07
R2 (s^-1),5.94,0.35
Red. Chi-sq,0.42
