Fit #1
N1 Pars,Fit Value,Error
pB (%),0.191,0.047
pC (%),0.329,0.051
dwB (ppm),21.09,1.81
dwC (ppm),3.26,1.94
kexAB (s^-1),3171,650
kexAC (s^-1),4377,463
kexBC (s^-1),9168,1821
R1 (s^-1),3.14,0.04
R2 (s^-1),6.49,0.39
Red. Chi-sq,0.42
