G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.998949936336,0.00104936637411,5.12432303715e-07,1.84853642518e-07,3.48642973117e-12,1.02486337083e-09,3.69707124116e-10,0.734895349173,0.265104650827
0.998949936336,0.00104936637411,5.12432288412e-07,1.84853643415e-07,4.30574062903e-12,1.26570586628e-09,4.56588253794e-10,0.734895307096,0.265104692904
0.998949936335,0.00104936637411,5.12432269513e-07,1.84853644522e-07,5.31758954117e-12,1.56314613982e-09,5.6388642558e-10,0.73489525513,0.26510474487
0.998949936332,0.0010493663741,5.12432246171e-07,1.84853645889e-07,6.56722287638e-12,1.93048455985e-09,6.96399632095e-10,0.734895190952,0.265104809048
0.998949936333,0.00104936637411,5.12432217346e-07,1.84853647578e-07,8.1105199367e-12,2.3841470239e-09,8.60053387786e-10,0.734895111693,0.265104888307
0.99894993633,0.0010493663741,5.12432181746e-07,1.84853649664e-07,1.00164916404e-11,2.94441942774e-09,1.06216569315e-09,0.734895013808,0.265104986192
0.998949936327,0.0010493663741,5.12432137779e-07,1.84853652239e-07,1.23703664416e-11,3.63635471895e-09,1.31177426383e-09,0.73489489292,0.26510510708
0.998949936324,0.0010493663741,5.12432083481e-07,1.8485365542e-07,1.52774014354e-11,4.49089308386e-09,1.62004065574e-09,0.734894743623,0.265105256377
0.998949936321,0.00104936637409,5.12432016423e-07,1.84853659348e-07,1.88675890645e-11,5.54624534155e-09,2.00074935558e-09,0.734894559242,0.265105440758
0.998949936318,0.00104936637409,5.12431933607e-07,1.848536642e-07,2.33014698892e-11,6.84960137919e-09,2.47092415122e-09,0.734894331531,0.265105668469
0.998949936313,0.00104936637408,5.12431831329e-07,1.84853670192e-07,2.87773113394e-11,8.45923998388e-09,3.0515893395e-09,0.734894050309,0.265105949691
0.998949936306,0.00104936637408,5.12431705014e-07,1.84853677591e-07,3.55399734432e-11,1.04471343541e-08,3.76870980327e-09,0.734893703001,0.265106296999
0.998949936298,0.00104936637407,5.12431549017e-07,1.8485368673e-07,4.38918579581e-11,1.29021697069e-08,4.65435198408e-09,0.734893274077,0.265106725923
0.998949936287,0.00104936637406,5.1243135636e-07,1.84853698015e-07,5.42064304785e-11,1.5934116718e-08,5.74811764931e-09,0.734892744358,0.265107255642
0.998949936274,0.00104936637404,5.12431118429e-07,1.84853711954e-07,6.69449201359e-11,1.96785382568e-08,7.09891454255e-09,0.734892090157,0.265107909843
0.998949936259,0.00104936637403,5.12430824585e-07,1.84853729167e-07,8.26769435678e-11,2.43028484951e-08,8.76714305733e-09,0.734891282224,0.265108717776
0.998949936241,0.00104936637401,5.12430461689e-07,1.84853750426e-07,1.02105975279e-10,3.00137948275e-08,1.08273966581e-08,0.734890284434,0.265109715566
0.998949936216,0.00104936637398,5.12430013512e-07,1.84853776681e-07,1.26100803167e-10,3.70666963951e-08,1.33717967155e-08,0.734889052173,0.265110947827
0.998949936187,0.00104936637395,5.12429460016e-07,1.84853809105e-07,1.55734375532e-10,4.57768511522e-08,1.65141107458e-08,0.734887530347,0.265112469653
0.998949936152,0.00104936637391,5.12428776452e-07,1.84853849149e-07,1.9233177628e-10,5.65336197617e-08,2.03948380074e-08,0.734885650917,0.265114349083
0.998949936109,0.00104936637387,5.12427932255e-07,1.84853898603e-07,2.37529472976e-10,6.9817813366e-08,2.51874895567e-08,0.734883329858,0.265116670142
0.998949936052,0.00104936637381,5.12426889675e-07,1.84853959678e-07,2.93348486203e-10,8.62231585759e-08,3.11063431175e-08,0.734880463408,0.265119536592
0.998949935985,0.00104936637374,5.12425602101e-07,1.84854035105e-07,3.62284750667e-10,1.06482793151e-07,3.84160188217e-08,0.734876923429,0.265123076571
