G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999998564081,1.4349657631e-06,7.00730297711e-10,2.527798248e-10,4.76755061256e-15,1.40145890443e-12,5.05559429548e-13,0.734895349174,0.265104650826
0.999998564081,1.4349657631e-06,7.00730276785e-10,2.52779826026e-10,5.88792488486e-15,1.73080120451e-12,6.24365834655e-13,0.734895307096,0.265104692904
0.999998564081,1.4349657631e-06,7.00730250942e-10,2.5277982754e-10,7.27158704726e-15,2.13753866021e-12,7.71091713011e-13,0.734895255131,0.265104744869
0.999998564081,1.4349657631e-06,7.00730219025e-10,2.5277982941e-10,8.98040972038e-15,2.63985898344e-12,9.52298124044e-13,0.734895190953,0.265104809047
0.999998564081,1.4349657631e-06,7.00730179608e-10,2.5277983172e-10,1.10908055731e-14,3.26022391984e-12,1.17608796734e-12,0.734895111694,0.265104888306
0.999998564081,1.4349657631e-06,7.00730130927e-10,2.52779834572e-10,1.36971442244e-14,4.0263736054e-12,1.45246831044e-12,0.734895013809,0.265104986191
0.999998564081,1.4349657631e-06,7.00730070807e-10,2.52779838095e-10,1.6915972113e-14,4.97256692521e-12,1.79379786124e-12,0.734894892922,0.265105107078
0.999998564081,1.4349657631e-06,7.00729996559e-10,2.52779842445e-10,2.08912240282e-14,6.14111332353e-12,2.21533959275e-12,0.734894743626,0.265105256374
0.999998564081,1.4349657631e-06,7.00729904862e-10,2.52779847818e-10,2.5800659339e-14,7.58426453866e-12,2.7359432289e-12,0.734894559245,0.265105440755
0.999998564081,1.4349657631e-06,7.00729791616e-10,2.52779854453e-10,3.1863810721e-14,9.36655081871e-12,3.37888810601e-12,0.734894331535,0.265105668465
0.999998564081,1.4349657631e-06,7.00729651758e-10,2.52779862648e-10,3.93518008066e-14,1.15676660307e-11,4.17292409347e-12,0.734894050315,0.265105949685
0.999998564081,1.4349657631e-06,7.00729479034e-10,2.52779872768e-10,4.85994657084e-14,1.42860305912e-11,5.1535571107e-12,0.734893703008,0.265106296992
0.999998564081,1.4349657631e-06,7.00729265719e-10,2.52779885267e-10,6.00203275091e-14,1.76431914132e-11,6.36463671009e-12,0.734893274085,0.265106725915
