G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999956294628,4.3676349494e-05,2.13282728905e-08,7.69391176911e-09,1.45110923298e-13,4.26564943117e-11,1.53878168405e-11,0.734895349174,0.265104650826
0.999956294628,4.3676349494e-05,2.13282722535e-08,7.69391180643e-09,1.7921198657e-13,5.26807539642e-11,1.90039519463e-11,0.734895307096,0.265104692904
0.999956294628,4.3676349494e-05,2.13282714669e-08,7.69391185252e-09,2.21326797767e-13,6.5060705963e-11,2.34698778294e-11,0.734895255131,0.265104744869
0.999956294628,4.3676349494e-05,2.13282704955e-08,7.69391190944e-09,2.73338586629e-13,8.03499334551e-11,2.89852948117e-11,0.734895190953,0.265104809047
0.999956294628,4.3676349494e-05,2.13282692957e-08,7.69391197974e-09,3.37573141349e-13,9.92321092343e-11,3.57968325225e-11,0.734895111694,0.265104888306
0.999956294628,4.3676349494e-05,2.1328267814e-08,7.69391206655e-09,4.16902809529e-13,1.22551565553e-10,4.42090781445e-11,0.734895013809,0.265104986191
0.999956294628,4.36763494939e-05,2.13282659841e-08,7.69391217377e-09,5.14874939207e-13,1.51351047176e-10,5.45981962245e-11,0.734894892922,0.265105107078
0.999956294628,4.36763494939e-05,2.13282637242e-08,7.69391230618e-09,6.35870503307e-13,1.86918335404e-10,6.74287490259e-11,0.734894743626,0.265105256374
0.999956294628,4.36763494939e-05,2.13282609332e-08,7.69391246971e-09,7.85300000489e-13,2.30843827193e-10,8.32744694918e-11,0.734894559245,0.265105440755
0.999956294627,4.36763494939e-05,2.13282574863e-08,7.69391267167e-09,9.69845392167e-13,2.85091643041e-10,1.02843915593e-10,0.734894331535,0.265105668465
0.999956294627,4.36763494939e-05,2.13282532294e-08,7.69391292109e-09,1.19775889394e-12,3.52087441649e-10,1.27012153045e-10,0.734894050314,0.265105949686
0.999956294627,4.36763494939e-05,2.13282479722e-08,7.69391322912e-09,1.47923198175e-12,4.34826865578e-10,1.56859882857e-10,0.734893703008,0.265106296992
0.999956294627,4.36763494939e-05,2.13282414795e-08,7.69391360954e-09,1.82685111272e-12,5.37009463337e-10,1.93721762916e-10,0.734893274085,0.265106725915
0.999956294626,4.36763494939e-05,2.1328233461e-08,7.69391407936e-09,2.25616053738e-12,6.63204070486e-10,2.39246083729e-10,0.734892744367,0.265107255633
0.999956294626,4.36763494938e-05,2.13282235582e-08,7.69391465958e-09,2.78635736862e-12,8.19053035978e-10,2.95468465797e-10,0.734892090169,0.265107909831
0.999956294625,4.36763494938e-05,2.13282113282e-08,7.69391537615e-09,3.4411499851e-12,1.01152441222e-09,3.6490287256e-10,0.734891282239,0.265108717761
0.999956294624,4.36763494938e-05,2.13281962243e-08,7.69391626112e-09,4.24981814946e-12,1.24922336486e-09,4.50654006347e-10,0.734890284452,0.265109715548
0.999956294623,4.36763494937e-05,2.13281775709e-08,7.69391735405e-09,5.24852223886e-12,1.54277669531e-09,5.5655610969e-10,0.734889052195,0.265110947805
0.999956294622,4.36763494937e-05,2.13281545341e-08,7.69391870382e-09,6.48192012131e-12,1.90530762154e-09,6.87344373207e-10,0.734887530375,0.265112469625
0.99995629462,4.36763494936e-05,2.13281260838e-08,7.69392037078e-09,8.00516396214e-12,2.35302197297e-09,8.48866606466e-10,0.734885650951,0.265114349049
0.999956294619,4.36763494935e-05,2.13280909478e-08,7.69392242946e-09,9.88636622543e-12,2.90593189796e-09,1.04834462421e-09,0.7348833299,0.2651166701
0.999956294616,4.36763494934e-05,2.13280475551e-08,7.69392497191e-09,1.22096451026e-11,3.58874927188e-09,1.29469701677e-09,0.73488046346,0.26511953654
