G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999988036153,1.19559026768e-05,5.83837151908e-09,2.10612062091e-09,3.97224607e-14,1.16767289491e-11,4.21223940839e-12,0.734895349174,0.265104650826
0.999988036153,1.19559026768e-05,5.83837134473e-09,2.10612063113e-09,4.90572379509e-14,1.44207557324e-11,5.20211516249e-12,0.734895307096,0.265104692904
0.999988036153,1.19559026768e-05,5.8383711294e-09,2.10612064375e-09,6.05856873235e-14,1.78096264361e-11,6.42461145257e-12,0.734895255131,0.265104744869
0.999988036153,1.19559026768e-05,5.83837086347e-09,2.10612065933e-09,7.48233214867e-14,2.19948781345e-11,7.93439396477e-12,0.734895190953,0.265104809047
0.999988036153,1.19559026768e-05,5.83837053506e-09,2.10612067857e-09,9.24067984399e-14,2.71636584597e-11,9.79897474802e-12,0.734895111694,0.265104888306
0.999988036153,1.19559026768e-05,5.83837012946e-09,2.10612070234e-09,1.14122390588e-13,3.35470937387e-11,1.21017310707e-11,0.734895013809,0.265104986191
0.999988036153,1.19559026768e-05,5.83836962855e-09,2.10612073169e-09,1.40941144011e-13,4.14306234619e-11,1.49456336886e-11,0.734894892922,0.265105107078
0.999988036153,1.19559026768e-05,5.83836900992e-09,2.10612076793e-09,1.74062300093e-13,5.11667630765e-11,1.84578512241e-11,0.734894743626,0.265105256374
0.999988036153,1.19559026768e-05,5.83836824592e-09,2.1061208127e-09,2.14966921154e-13,6.31908656159e-11,2.2795436529e-11,0.734894559245,0.265105440755
0.999988036153,1.19559026768e-05,5.83836730238e-09,2.10612086798e-09,2.65484117941e-13,7.80405866716e-11,2.81523492686e-11,0.734894331535,0.265105668465
0.999988036153,1.19559026768e-05,5.8383661371e-09,2.10612093626e-09,3.27872840384e-13,9.63799226553e-11,3.47681287053e-11,0.734894050315,0.265105949685
0.999988036152,1.19559026768e-05,5.83836469799e-09,2.10612102058e-09,4.04922888822e-13,1.19028896562e-10,4.29386044179e-11,0.734893703008,0.265106296992
0.999988036152,1.19559026768e-05,5.83836292069e-09,2.10612112471e-09,5.00079662374e-13,1.47000217614e-10,5.30291237853e-11,0.734893274085,0.265106725915
0.999988036152,1.19559026768e-05,5.83836072572e-09,2.10612125332e-09,6.17598222395e-13,1.81544552452e-10,6.54908875404e-11,0.734892744368,0.265107255632
0.999988036152,1.19559026768e-05,5.83835801494e-09,2.10612141215e-09,7.6273355965e-13,2.24206429768e-10,8.08811235847e-11,0.734892090169,0.265107909831
0.999988036152,1.19559026768e-05,5.83835466713e-09,2.10612160831e-09,9.41975572477e-13,2.76893274459e-10,9.98880007459e-11,0.734891282239,0.265108717761
0.999988036152,1.19559026768e-05,5.8383505326e-09,2.10612185056e-09,1.16333926205e-12,3.41960652504e-10,1.23361395887e-10,0.734890284452,0.265109715548
0.999988036151,1.19559026768e-05,5.83834542646e-09,2.10612214974e-09,1.43672311931e-12,4.22317529624e-10,1.52350889183e-10,0.734889052196,0.265110947804
0.999988036151,1.19559026768e-05,5.8383391204e-09,2.10612251922e-09,1.77435172645e-12,5.21556237111e-10,1.88152685075e-10,0.734887530376,0.265112469624
0.999988036151,1.19559026768e-05,5.83833133245e-09,2.10612297553e-09,2.19132235987e-12,6.44112935985e-10,2.32367554756e-10,0.734885650952,0.265114349048
0.99998803615,1.19559026768e-05,5.83832171438e-09,2.10612353908e-09,2.70628003001e-12,7.95465723683e-10,2.86972387669e-10,0.734883329901,0.265116670099
0.99998803615,1.19559026768e-05,5.83830983613e-09,2.10612423505e-09,3.34225113265e-12,9.82379194327e-10,3.54408546226e-10,0.734880463461,0.265119536539
0.999988036149,1.19559026768e-05,5.83829516661e-09,2.10612509457e-09,4.12767297357e-12,1.21320631592e-09,4.37690966513e-10,0.734876923495,0.265123076505
0.999988036148,1.19559026768e-05,5.83827704992e-09,2.10612615606e-09,5.09766517859e-12,1.49826101271e-09,5.40542871177e-10,0.734872551769,0.265127448231
0.999988036147,1.19559026767e-05,5.83825467606e-09,2.10612746699e-09,6.29559980405e-12,1.85027794466e-09,6.67562099461e-10,0.734867152891,0.265132847109
0.999988036145,1.19559026767e-05,5.83822704473e-09,2.10612908597e-09,7.77504030005e-12,2.28497978663e-09,8.24426463193e-10,0.734860485587,0.265139514413
0.999988036143,1.19559026767e-05,5.83819292065e-09,2.10613108537e-09,9.60213594213e-12,2.82177698215e-09,1.01814726754e-09,0.734852251938,0.265147748062
0.999988036141,1.19559026767e-05,5.83815077831e-09,2.10613355458e-09,1.18585786677e-11,3.48463066494e-09,1.25738226591e-09,0.734842084101,0.265157915899
0.999988036138,1.19559026766e-05,5.83809873392e-09,2.10613660397e-09,1.4645254332e-11,4.30311642511e-09,1.55282194102e-09,0.73482952792,0.26517047208
0.999988036135,1.19559026766e-05,5.83803446121e-09,2.10614036984e-09,1.80867513422e-11,5.3137351017e-09,1.91766622906e-09,0.734814022712,0.265185977288
0.999988036131,1.19559026766e-05,5.83795508765e-09,2.10614502051e-09,2.23369278046e-11,6.5615271044e-09,2.36821276689e-09,0.734794876332,0.265205123668
0.999988036126,1.19559026765e-05,5.83785706624e-09,2.10615076379e-09,2.75857854003e-11,8.10205923794e-09,2.92458260394e-09,0.734771234445,0.265228765555
0.999988036119,1.19559026764e-05,5.83773601732e-09,2.1061578563e-09,3.40679562592e-11,1.00038679832e-08,3.61161527828e-09,0.734742042649,0.265257957351
0.999988036112,1.19559026763e-05,5.83758653338e-09,2.10616661487e-09,4.20731806442e-11,1.23514610543e-08,4.45997244044e-09,0.734705999829,0.265294000171
0.999988036102,1.19559026762e-05,5.8374019382e-09,2.10617743069e-09,5.19592413986e-11,1.52490001519e-08,5.50749809473e-09,0.734661500736,0.265338499264
0.99998803609,1.19559026761e-05,5.83717398984e-09,2.10619078666e-09,6.41679296113e-11,1.88248124353e-08,6.80089433429e-09,0.734606565375,0.265393434625
0.999988036075,1.19559026759e-05,5.83689251431e-09,2.10620727891e-09,7.92447494503e-11,2.32369064326e-08,8.39778453781e-09,0.734538752231,0.265461247769
0.999988036057,1.19559026757e-05,5.83654495407e-09,2.10622764319e-09,9.7863234176e-11,2.86796996274e-08,1.03692517787e-08,0.734455051792,0.265544948208
0.999988036034,1.19559026754e-05,5.83611581177e-09,2.10625278754e-09,1.20854946778e-10,3.53921989612e-08,1.28029591069e-08,0.734351756066,0.265648243934
0.999988036006,1.19559026751e-05,5.83558596526e-09,2.10628383236e-09,1.49246485609e-10,4.36679101179e-08,1.58069808349e-08,0.734224298999,0.265775701001
0.999988035972,1.19559026746e-05,5.83493182471e-09,2.10632215982e-09,1.84305117589e-10,5.38667833196e-08,1.95145003903e-08,0.734067061739,0.265932938261
0.999988035929,1.19559026741e-05,5.83412429631e-09,2.10636947461e-09,2.27595030539e-10,6.6429526661e-08,2.40895609434e-08,0.733873135701,0.266126864299
0.999988035877,1.19559026735e-05,5.83312750963e-09,2.10642787843e-09,2.81046645572e-10,8.18946233778e-08,2.97340898969e-08,0.733634035325,0.266365964675
0.999988035812,1.19559026727e-05,5.83189725661e-09,2.10649996153e-09,3.47041975704e-10,1.00918362317e-07,3.66964569672e-08,0.7333393514,0.2666606486
0.999988035732,1.19559026718e-05,5.83037908031e-09,2.10658891467e-09,4.28519675736e-10,1.24298109465e-07,4.52818667543e-08,0.732976335038,0.267023664962
0.999988035633,1.19559026706e-05,5.82850593939e-09,2.10669866592e-09,5.29104220094e-10,1.52998881145e-07,5.58649279249e-08,0.732529401941,0.267470598059
0.999988035511,1.19559026691e-05,5.82619536169e-09,2.10683404751e-09,6.53264590005e-10,1.88182982571e-07,6.89047780495e-08,0.73197954705,0.26802045295
0.99998803536,1.19559026673e-05,5.82334598624e-09,2.1070009984e-09,8.06508968554e-10,2.31241990861e-07,8.49631686468e-08,0.731303661271,0.268696338729
0.999988035175,1.19559026651e-05,5.81983337947e-09,2.10720680939e-09,9.95623248037e-10,2.83829617585e-07,1.04725918105e-07,0.730473745744,0.269526254256
0.999988034945,1.19559026624e-05,5.81550499913e-09,2.10746041827e-09,1.22896265733e-09,3.47892902751e-07,1.29028104759e-07,0.729456025783,0.270543974217
0.999988034663,1.1955902659e-05,5.81017417189e-09,2.10777276262e-09,1.51680751232e-09,4.25697697806e-07,1.58883275982e-07,0.728209977564,0.271790022436
0.999988034314,1.19559026548e-05,5.8036129515e-09,2.10815719827e-09,1.87179595105e-09,5.19842458282e-07,1.95516762076e-07,0.726687297078,0.273312702922
0.999988033884,1.19559026497e-05,5.79554374073e-09,2.10862999024e-09,2.30944847118e-09,6.33252053163e-07,2.40402870266e-07,0.724830864201,0.275169135799
