G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999984858304,1.51316412385e-05,7.38916547183e-09,2.66555044e-09,5.02735795591e-14,1.47783131122e-11,5.33109855956e-12,0.734895349174,0.265104650826
0.999984858304,1.51316412385e-05,7.38916525116e-09,2.66555045293e-09,6.20878694728e-14,1.82512109734e-11,6.58390607955e-12,0.734895307096,0.265104692904
0.999984858304,1.51316412385e-05,7.38916497864e-09,2.6655504689e-09,7.66785168424e-14,2.25402368276e-11,8.13112302979e-12,0.734895255131,0.265104744869
0.999984858304,1.51316412385e-05,7.38916464208e-09,2.66555048862e-09,9.46979653162e-14,2.78371791752e-11,1.00419354494e-11,0.734895190953,0.265104809047
0.999984858304,1.51316412385e-05,7.38916422643e-09,2.66555051297e-09,1.16951982614e-13,3.43788959855e-11,1.24017880039e-11,0.734895111694,0.265104888306
0.999984858304,1.51316412385e-05,7.3891637131e-09,2.66555054305e-09,1.44435691587e-13,4.24579055863e-11,1.53162047131e-11,0.734895013809,0.265104986191
0.999984858304,1.51316412385e-05,7.38916307913e-09,2.66555058019e-09,1.78378068521e-13,5.24354661845e-11,1.89155075255e-11,0.734894892922,0.265105107078
0.999984858304,1.51316412385e-05,7.38916229619e-09,2.66555062607e-09,2.20296898475e-13,6.47577287253e-11,2.33606437178e-11,0.734894743626,0.265105256374
0.999984858304,1.51316412385e-05,7.38916132925e-09,2.66555068272e-09,2.72066644985e-13,7.99756851406e-11,2.88503826735e-11,0.734894559245,0.265105440755
0.999984858304,1.51316412385e-05,7.38916013508e-09,2.66555075269e-09,3.36002268989e-13,9.87698036259e-11,3.5630203814e-11,0.734894331535,0.265105668465
0.999984858304,1.51316412385e-05,7.38915866028e-09,2.6655508391e-09,4.14962744902e-13,1.21980451969e-10,4.40032730548e-11,0.734894050315,0.265105949685
0.999984858304,1.51316412385e-05,7.38915683891e-09,2.66555094582e-09,5.1247890256e-13,1.50645468476e-10,5.43439985167e-11,0.734893703008,0.265106296992
0.999984858303,1.51316412385e-05,7.38915458952e-09,2.66555107762e-09,6.32911311366e-13,1.86046559181e-10,6.71147715069e-11,0.734893274085,0.265106725915
0.999984858303,1.51316412385e-05,7.38915181152e-09,2.66555124039e-09,7.81645266231e-13,2.29766594023e-10,8.2886641138e-11,0.734892744368,0.265107255632
0.999984858303,1.51316412385e-05,7.3891483807e-09,2.66555144141e-09,9.65331593708e-13,2.83760360914e-10,1.02364846732e-10,0.734892090169,0.265107909831
0.999984858303,1.51316412385e-05,7.38914414365e-09,2.66555168966e-09,1.19218404528e-12,3.50441936819e-10,1.26420349193e-10,0.734891282239,0.265108717761
0.999984858303,1.51316412385e-05,7.38913891089e-09,2.66555199626e-09,1.47234657456e-12,4.32792575455e-10,1.56128770508e-10,0.734890284452,0.265109715548
0.999984858302,1.51316412385e-05,7.38913244846e-09,2.66555237491e-09,1.81834691936e-12,5.34493924864e-10,1.92818481365e-10,0.734889052196,0.265110947804
0.999984858302,1.51316412385e-05,7.38912446738e-09,2.66555284254e-09,2.24565676732e-12,6.60092514887e-10,2.38129985296e-10,0.734887530375,0.265112469625
0.999984858301,1.51316412385e-05,7.38911461078e-09,2.66555342005e-09,2.77338354819e-12,8.15202843975e-10,2.94089251903e-10,0.734885650952,0.265114349048
0.999984858301,1.51316412385e-05,7.38910243795e-09,2.66555413329e-09,3.42512477829e-12,1.00675810716e-09,3.63198273937e-10,0.734883329901,0.265116670099
0.9999848583,1.51316412385e-05,7.38908740459e-09,2.66555501412e-09,4.23002314717e-12,1.24331971668e-09,4.48546890881e-10,0.734880463461,0.265119536539
0.999984858299,1.51316412385e-05,7.38906883853e-09,2.66555610195e-09,5.22406950561e-12,1.53545936405e-09,5.53950869093e-10,0.734876923495,0.265123076505
0.999984858298,1.51316412385e-05,7.38904590966e-09,2.66555744539e-09,6.45171198877e-12,1.89623056818e-09,6.84122397262e-10,0.734872551769,0.265127448231
0.999984858296,1.51316412384e-05,7.38901759284e-09,2.66555910454e-09,7.967843181e-12,2.34175058185e-09,8.44880597184e-10,0.734867152891,0.265132847109
0.999984858294,1.51316412384e-05,7.38898262205e-09,2.66556115355e-09,9.84025410841e-12,2.89191835223e-09,1.04341142662e-09,0.734860485586,0.265139514414
0.999984858292,1.51316412384e-05,7.38893943389e-09,2.66556368403e-09,1.21526646818e-11,3.57130014379e-09,1.28858854047e-09,0.734852251937,0.265147748063
0.999984858289,1.51316412383e-05,7.38888609766e-09,2.66556680911e-09,1.50084659309e-11,4.41022167005e-09,1.59136937308e-09,0.7348420841,0.2651579159
0.999984858286,1.51316412383e-05,7.38882022918e-09,2.66557066848e-09,1.85353411105e-11,5.44611441829e-09,1.96528402362e-09,0.73482952792,0.26517047208
0.999984858282,1.51316412382e-05,7.38873888428e-09,2.66557543465e-09,2.28909719222e-11,6.72517461609e-09,2.42703860826e-09,0.734814022711,0.265185977289
0.999984858276,1.51316412381e-05,7.38863842744e-09,2.66558132062e-09,2.82700844131e-11,8.30440635083e-09,2.99725975809e-09,0.734794876331,0.265205123669
0.99998485827,1.5131641238e-05,7.38851436947e-09,2.66558858943e-09,3.49131486966e-11,1.02541361362e-08,3.70141309536e-09,0.734771234444,0.265228765556
0.999984858262,1.51316412379e-05,7.38836116741e-09,2.66559756586e-09,4.31171201184e-11,1.26611051803e-08,4.57093606054e-09,0.734742042648,0.265257957352
0.999984858252,1.51316412378e-05,7.38817197738e-09,2.66560865089e-09,5.32487000334e-11,1.56322682187e-08,5.64463468176e-09,0.734705999827,0.265294000173
0.999984858239,1.51316412376e-05,7.38793834983e-09,2.66562233961e-09,6.57607059134e-11,1.92994544849e-08,6.97040512477e-09,0.734661500734,0.265338499266
0.999984858224,1.51316412373e-05,7.38764985358e-09,2.6656392432e-09,8.12122778287e-11,2.38250775238e-08,8.60735453833e-09,0.734606565372,0.265393434628
0.999984858206,1.51316412371e-05,7.38729361221e-09,2.66566011612e-09,1.00293817298e-10,2.94091162432e-08,1.06284122793e-08,0.734538752227,0.265461247773
0.999984858182,1.51316412367e-05,7.38685373264e-09,2.66568588957e-09,1.23857762144e-10,3.62976294885e-08,1.31235425767e-08,0.734455051787,0.265544948213
0.999984858154,1.51316412363e-05,7.3863106011e-09,2.66571771277e-09,1.52956555931e-10,4.47931094588e-08,1.62036936252e-08,0.73435175606,0.26564824394
0.999984858118,1.51316412357e-05,7.38564001619e-09,2.66575700372e-09,1.8888948307e-10,5.52670231047e-08,2.00056465421e-08,0.734224298992,0.265775701008
0.999984858075,1.51316412351e-05,7.38481212212e-09,2.66580551174e-09,2.33260423159e-10,6.81749309778e-08,2.46979610671e-08,0.73406706173,0.26593293827
0.999984858021,1.51316412343e-05,7.38379009716e-09,2.66586539429e-09,2.88049045119e-10,8.40746024875e-08,3.04882536776e-08,0.73387313569,0.26612686431
0.999984857955,1.51316412333e-05,7.38252854292e-09,2.66593931136e-09,3.55698530403e-10,1.03647553312e-07,3.76320879306e-08,0.733634035311,0.266365964689
0.999984857873,1.5131641232e-05,7.38097150876e-09,2.6660305412e-09,4.39223604653e-10,1.27724396384e-07,4.6443805749e-08,0.733339351384,0.266660648616
0.999984857771,1.51316412305e-05,7.37905007283e-09,2.6661431221e-09,5.42343491031e-10,1.5731429482e-07,5.73096804768e-08,0.732976335017,0.267023664983
0.999984857646,1.51316412286e-05,7.37667938619e-09,2.66628202552e-09,6.696454004e-10,1.9363859352e-07,7.07038247005e-08,0.732529401916,0.267470598084
0.999984857492,1.51316412263e-05,7.37375507035e-09,2.66645336722e-09,8.26785369145e-10,2.38168330342e-07,8.72073325602e-08,0.731979547019,0.268020452981
0.999984857301,1.51316412234e-05,7.37014884071e-09,2.66666466365e-09,1.02073466932e-09,2.92664714474e-07,1.07531168561e-07,0.731303661233,0.268696338767
0.999984857066,1.51316412198e-05,7.36570321153e-09,2.66692514223e-09,1.26008166856e-09,3.59220717961e-07,1.3254331884e-07,0.730473745697,0.269526254303
0.999984856776,1.51316412154e-05,7.36022512212e-09,2.66724611479e-09,1.55540091978e-09,4.40300555469e-07,1.63300676053e-07,0.729456025726,0.270543974274
0.999984856418,1.513164121e-05,7.35347831479e-09,2.66764142414e-09,1.9197034064e-09,5.38771936106e-07,2.01086007012e-07,0.728209977493,0.271790022507
0.999984855977,1.51316412033e-05,7.34517429594e-09,2.66812797372e-09,2.368984221e-09,6.57923519674e-07,2.47450115447e-07,0.726687296992,0.273312703008
