Fit #1
un3_3pts Pars,Fit Value,Error
pB (%),0.241,0.004
dwB (ppm),46.12,0.52
kexAB (s^-1),6519,242
R1 (s^-1),2.41,0.07
R2 (s^-1),3.86,0.36
Red. Chi-sq,0.67
