Fit #1
N1 Pars,Fit Value,Error
pB (%),0.355,0.007
dwB (ppm),14.76,0.31
kexAB (s^-1),6865,267
R1 (s^-1),3.42,0.05
R2 (s^-1),5.34,0.20
Red. Chi-sq,1.00
