Fit #1
N3 Pars,Fit Value,Error
pB (%),0.355,0.007
dwB (ppm),52.67,0.42
kexAB (s^-1),6865,267
R1 (s^-1),2.50,0.10
R2 (s^-1),3.46,0.46
Red. Chi-sq,1.00
