Fit #1
GN1 Pars,Fit Value,Error
pB (%),0.074,0.007
pC (%),0.022,0.005
dwB (ppm),35.34,0.97
dwC (ppm),9.25,10.73
kexAB (s^-1),5038,727
kexAC (s^-1),9501,2494
kexBC (s^-1),6406,4264
R1 (s^-1),2.40,0.04
R2 (s^-1),5.87,0.15
Red. Chi-sq,1.25
