Fit #1
un3_4pts Pars,Fit Value,Error
pB (%),0.083,0.003
pC (%),0.010,0.006
dwB (ppm),22.50,1.63
dwC (ppm),55.21,15.71
kexAB (s^-1),6601,522
kexAC (s^-1),14733,11058
R1 (s^-1),2.33,0.07
R2 (s^-1),4.88,0.63
Red. Chi-sq,0.57
