Fit #1
gn1_4pts Pars,Fit Value,Error
pB (%),0.083,0.003
pC (%),0.010,0.006
dwB (ppm),35.00,0.73
dwC (ppm),-0.11,148.61
kexAB (s^-1),6601,522
kexAC (s^-1),14733,11058
R1 (s^-1),2.17,0.05
R2 (s^-1),5.40,0.23
Red. Chi-sq,0.57
