Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
1528.0,600.0,3.0996578037838733,0.3011462023677532,6.724387188188032,2.254233243892732,3.285021518768155,8.111929336299706,-0.18536371498428172,-1.3875421481116739
1719.0,600.0,2.94887363442545,0.3150696874461801,6.298751373029916,2.901232572684103,3.1236743267176537,7.908355477812293,-0.17480069229220385,-1.6096041047823775
1910.0,600.0,3.065003053627605,0.3247945285300997,8.377464955522754,3.6161359716708135,3.0069944390988526,7.731619600265276,0.05800861452875239,0.6458453552574781
2101.0,600.0,2.7840109245003903,0.3005365350432529,5.766657221944964,3.9856161837223136,2.920448769763356,7.576050825534676,-0.13643784526296576,-1.8093936035897116
1337.0,600.0,3.651354982688747,0.30603920378910127,9.165973902061522,1.82566751900599,3.514591581739064,8.350116012577883,0.13676340094968298,0.8158578894836381
1146.0,600.0,3.670979593463843,0.3193898915827611,7.794128893122677,1.4845561550658322,3.8515552682424428,8.633462687061089,-0.18057567477859982,-0.8393337939384118
573.0,600.0,6.081449409961855,0.4052884652724097,9.310645469268163,0.7749216778124793,6.413695180635262,9.945907688939984,-0.3322457706734072,-0.6352622196718212
382.0,600.0,7.790664789571008,0.3797670382477854,9.918683996635163,0.5337034973846462,8.305180670711332,10.641756031774154,-0.5145158811403236,-0.7230720351389905
955.0,600.0,4.062518741433441,0.3602247655310776,7.917743231271443,1.2728191871518584,4.362529759415844,8.977802995574407,-0.3000110179824036,-1.0600597643029648
764.0,600.0,4.83796579785632,0.3444614908620016,8.562602096479889,0.9029636974458541,5.15935390095634,9.405081727988435,-0.32138810310001986,-0.8424796315085459
-2101.0,600.0,3.599740217666369,0.32402927340774645,16.584589464062486,4.297169114257046,3.768819223400379,18.82685934810225,-0.1690790057340097,-2.2422698840397643
-1910.0,600.0,4.145845961379778,0.3621662764552972,20.411149562637995,4.032218479612436,4.14889125971794,20.445054730052405,-0.003045298338162361,-0.03390516741441019
191.0,600.0,10.227876492140288,0.4423110448499432,11.006858849799189,0.4871331260365288,10.717130798899994,11.545692285350286,-0.4892543067597064,-0.5388334355510978
10.0,600.0,12.224260922920342,0.44642566697369274,12.226950783922392,0.4465496741034077,12.644556487041427,12.647363096811288,-0.42029556412108526,-0.4204123128888959
-382.0,600.0,11.801469477663678,0.4674277339561772,15.555246082797929,0.6568969690945695,12.126273239060458,16.011707244411554,-0.3248037613967796,-0.4564611616136247
