G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999900059846,9.96069324282e-05,8.3947158782e-08,2.49272914539e-07,1.6661003666e-12,1.67894248545e-10,4.98545220511e-10,0.251927228714,0.748072771286
0.999900059845,9.96069324282e-05,8.39471601044e-08,2.49272907898e-07,2.05763391991e-12,2.07349380188e-10,6.15703154307e-10,0.251927272559,0.748072727441
0.999900059845,9.96069324281e-05,8.39471617377e-08,2.49272899696e-07,2.541177841e-12,2.56076458962e-10,7.60393101162e-10,0.251927326708,0.748072673292
0.999900059844,9.9606932428e-05,8.39471637547e-08,2.49272889566e-07,3.13835455723e-12,3.16254387819e-10,9.390850309e-10,0.251927393582,0.748072606418
0.999900059843,9.9606932428e-05,8.39471662458e-08,2.49272877056e-07,3.87586776164e-12,3.90574109473e-10,1.15976932828e-09,0.251927476172,0.748072523828
0.999900059843,9.96069324279e-05,8.39471693223e-08,2.49272861606e-07,4.78669650788e-12,4.82358934474e-10,1.43231407583e-09,0.25192757817,0.74807242183
0.999900059842,9.96069324278e-05,8.39471731217e-08,2.49272842526e-07,5.91156991614e-12,5.95713145699e-10,1.76890629042e-09,0.251927704137,0.748072295863
0.99990005984,9.96069324276e-05,8.3947177814e-08,2.49272818961e-07,7.30078843294e-12,7.35705523882e-10,2.18459683862e-09,0.251927859707,0.748072140293
0.999900059838,9.96069324275e-05,8.39471836089e-08,2.49272789859e-07,9.01647308402e-12,9.08596000088e-10,2.69797338935e-09,0.251928051835,0.748071948165
0.999900059837,9.96069324273e-05,8.39471907657e-08,2.49272753918e-07,1.11353432969e-11,1.12211556913e-09,3.33199148285e-09,0.251928289113,0.748071710887
0.999900059834,9.9606932427e-05,8.39471996044e-08,2.49272709531e-07,1.37521475045e-11,1.38581197902e-09,4.11500085925e-09,0.25192858215,0.74807141785
0.999900059831,9.96069324267e-05,8.39472105201e-08,2.49272654713e-07,1.69838999304e-11,1.71147665192e-09,5.08201291065e-09,0.251928944051,0.748071055949
