G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999839924825,0.000159541450251,1.34459029408e-07,3.99262996304e-07,2.66861012856e-12,2.68917948266e-10,7.98525017859e-10,0.251927228714,0.748072771286
0.999839924824,0.000159541450251,1.34459031526e-07,3.99262985666e-07,3.29573345616e-12,3.32113639256e-10,9.86178087886e-10,0.251927272559,0.748072727441
0.999839924824,0.000159541450251,1.34459034142e-07,3.99262972529e-07,4.07023073812e-12,4.10160303526e-10,1.21792946698e-09,0.251927326708,0.748072673292
0.999839924823,0.000159541450251,1.34459037372e-07,3.99262956304e-07,5.0267348392e-12,5.06547912388e-10,1.5041421725e-09,0.251927393583,0.748072606417
0.999839924821,0.000159541450251,1.34459041362e-07,3.99262936267e-07,6.20801733975e-12,6.25586576524e-10,1.85761448606e-09,0.251927476172,0.748072523828
0.99983992482,0.000159541450251,1.3445904629e-07,3.9926291152e-07,7.6669011299e-12,7.72599276691e-10,2.29415221714e-09,0.25192757817,0.74807242183
0.999839924818,0.00015954145025,1.34459052375e-07,3.99262880959e-07,9.46862246119e-12,9.54159885073e-10,2.83327543626e-09,0.251927704138,0.748072295862
0.999839924816,0.00015954145025,1.34459059891e-07,3.99262843215e-07,1.16937480773e-11,1.17838712001e-09,3.49909127155e-09,0.251927859707,0.748072140293
0.999839924814,0.000159541450249,1.34459069173e-07,3.99262796601e-07,1.44417778653e-11,1.45530757761e-09,4.32137178385e-09,0.251928051836,0.748071948164
0.99983992481,0.000159541450249,1.34459080635e-07,3.99262739034e-07,1.78355941229e-11,1.79730407194e-09,5.33688509857e-09,0.251928289114,0.748071710886
0.999839924806,0.000159541450248,1.34459094792e-07,3.99262667938e-07,2.20269563919e-11,2.2196693294e-09,6.59103928666e-09,0.251928582152,0.748071417848
0.999839924801,0.000159541450247,1.34459112276e-07,3.99262580134e-07,2.72032875599e-11,2.74128979237e-09,8.13991245565e-09,0.251928944053,0.748071055947
0.999839924794,0.000159541450246,1.34459133868e-07,3.99262471697e-07,3.35960546698e-11,3.38549010329e-09,1.00527597566e-08,0.251929390999,0.748070609001
0.999839924787,0.000159541450245,1.34459160534e-07,3.99262337777e-07,4.14911191794e-11,4.18107602175e-09,1.24151093001e-08,0.251929942976,0.748070057024
0.999839924777,0.000159541450244,1.34459193467e-07,3.99262172386e-07,5.12415194695e-11,5.16362239581e-09,1.53325852513e-08,0.251930624665,0.748069375335
0.999839924765,0.000159541450242,1.34459234139e-07,3.99261968129e-07,6.32832571486e-11,6.37706375853e-09,1.89356288001e-08,0.251931466546,0.748068533454
0.999839924751,0.000159541450239,1.34459284369e-07,3.99261715871e-07,7.81547929948e-11,7.87565864168e-09,2.33853277175e-08,0.251932506262,0.748067493738
0.999839924732,0.000159541450237,1.34459346402e-07,3.99261404334e-07,9.6521124227e-11,9.72641539151e-09,2.88806145742e-08,0.2519337903,0.7480662097
0.99983992471,0.000159541450233,1.34459423013e-07,3.99261019588e-07,1.192035196e-10,1.20120878813e-08,3.5667154584e-08,0.251935376072,0.748064623928
0.999839924682,0.000159541450229,1.34459517628e-07,3.99260544427e-07,1.4721624174e-10,1.48348749569e-08,4.40483191034e-08,0.251937334475,0.748062665525
0.999839924648,0.000159541450223,1.34459634476e-07,3.99259957606e-07,1.81811898452e-10,1.83209888563e-08,5.43987333527e-08,0.251939753065,0.748060246935
0.999839924606,0.000159541450216,1.34459778783e-07,3.99259232887e-07,2.24537450407e-10,2.26262966043e-08,6.71810009083e-08,0.251942739966,0.748057260034
0.999839924554,0.000159541450208,1.34459957e-07,3.99258337866e-07,2.77303378824e-10,2.79432862152e-08,8.29663478651e-08,0.251946428702,0.748053571298
0.99983992449,0.000159541450198,1.34460177097e-07,3.99257232524e-07,3.42469104814e-10,3.45096685487e-08,1.02460102235e-07,0.251950984157,0.748049015843
0.99983992441,0.000159541450185,1.34460448913e-07,3.99255867443e-07,4.22948478077e-10,4.26189984627e-08,1.26533136394e-07,0.251956609941,0.748043390059
0.999839924313,0.00015954145017,1.34460784602e-07,3.9925418159e-07,5.22340049038e-10,5.26337886715e-08,1.56260660983e-07,0.251963557473,0.748036442527
0.999839924192,0.00015954145015,1.3446119917e-07,3.99252099598e-07,6.45087945182e-10,6.50017003837e-08,1.92970078184e-07,0.251972137203,0.748027862797
0.999839924042,0.000159541450126,1.34461711152e-07,3.99249528392e-07,7.96680538456e-10,8.02755311482e-08,2.38299993329e-07,0.251982732447,0.748017267553
0.999839923857,0.000159541450097,1.34462343432e-07,3.99246353035e-07,9.83895776813e-10,9.91378882689e-08,2.94272961391e-07,0.251995816472,0.748004183528
0.999839923629,0.000159541450061,1.34463124273e-07,3.99242431595e-07,1.21510413406e-09,1.2243164282e-07,3.63385126473e-07,0.252011973564,0.747988026436
0.999839923348,0.000159541450016,1.34464088573e-07,3.99237588809e-07,1.50064270019e-09,1.51197513444e-07,4.48716618213e-07,0.252031925012,0.747968074988
0.999839923,0.00015954144996,1.34465279426e-07,3.99231608261e-07,1.85327710238e-09,1.8672044131e-07,5.54067421778e-07,0.252056561148,0.747943438852
0.99983992257,0.000159541449892,1.3446675004e-07,3.99224222732e-07,2.28877185491e-09,2.30586800643e-07,6.84124462474e-07,0.252086980822,0.747913019178
0.99983992204,0.000159541449807,1.34468566112e-07,3.99215102286e-07,2.82659455403e-09,2.84754958384e-07,8.44666867568e-07,0.252124540044,0.747875459956
0.999839921385,0.000159541449702,1.34470808754e-07,3.99203839574e-07,3.49078527362e-09,3.51642270072e-07,1.04281781057e-06,0.252170911848,0.747829088152
0.999839920576,0.000159541449573,1.34473578102e-07,3.9918993171e-07,4.31102983398e-09,4.34232298359e-07,1.28735302531e-06,0.252228159934,0.747771840066
0.999839919577,0.000159541449414,1.34476997764e-07,3.99172757917e-07,5.32398462617e-09,5.36206890596e-07,1.58907800412e-06,0.252298829173,0.747701170827
0.999839918343,0.000159541449217,1.34481220313e-07,3.9915155197e-07,6.57491176016e-09,6.62108780986e-07,1.96128804868e-06,0.252386056696,0.747613943304
0.999839916819,0.000159541448974,1.34486434042e-07,3.99125368248e-07,8.11969693416e-09,8.17541622208e-07,2.42032766387e-06,0.252493708045,0.747506291955
0.999839914938,0.000159541448674,1.34492871289e-07,3.99093039923e-07,1.00273391592e-08,1.0094158344e-06,2.98626814776e-06,0.252626543768,0.747373456232
0.999839912614,0.000159541448303,1.34500818688e-07,3.9905312751e-07,1.23830219995e-08,1.24625041858e-06,3.68372440012e-06,0.252790422754,0.747209577246
0.999839909746,0.000159541447845,1.34510629758e-07,3.99003855603e-07,1.529190112e-08,1.53854294493e-06,4.5428335477e-06,0.252992549761,0.747007450239
0.999839906203,0.00015954144728,1.34522740383e-07,3.98943035161e-07,1.88837736392e-08,1.89922230981e-06,5.60041832016e-06,0.253241775642,0.746758224358
0.999839901829,0.000159541446582,1.34537687791e-07,3.9886796819e-07,2.33188322046e-08,2.34420155103e-06,6.90135619929e-06,0.253548959872,0.746451040128
0.999839896427,0.00015954144572,1.345561338e-07,3.98775330986e-07,2.87947521641e-08,2.89305096787e-06,8.50016969663e-06,0.253927405873,0.746072594127
0.99983988976,0.000159541444656,1.34578893234e-07,3.98661031438e-07,3.55554152035e-08,3.56981488916e-06,1.04628415001e-05,0.254393379995,0.745606620005
0.999839881528,0.000159541443343,1.34606968569e-07,3.98520035045e-07,4.39016390173e-08,4.40399843154e-06,1.28688376156e-05,0.254966724603,0.745033275397
