G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.996164317964,0.00382289305128,3.22187424268e-06,9.56704186781e-06,6.39445805524e-11,6.44374583621e-09,1.91340603772e-08,0.251927228725,0.748072771275
0.996164317946,0.00382289305121,3.22187429337e-06,9.56704161274e-06,7.89715557203e-11,7.95802546409e-09,2.36305571566e-08,0.251927272573,0.748072727427
0.996164317934,0.00382289305117,3.22187435602e-06,9.56704129784e-06,9.75298693908e-11,9.82816046659e-09,2.9183726788e-08,0.251927326726,0.748072673274
0.996164317915,0.00382289305109,3.22187443338e-06,9.56704090889e-06,1.20449385763e-10,1.21377766791e-08,3.60418853474e-08,0.251927393604,0.748072606396
0.99616431789,0.003822893051,3.2218745289e-06,9.56704042853e-06,1.48754986941e-10,1.49901519151e-08,4.45117021156e-08,0.251927476199,0.748072523801
0.996164317852,0.00382289305085,3.22187464686e-06,9.56703983521e-06,1.83712402044e-10,1.85128341321e-08,5.49719120166e-08,0.251927578203,0.748072421797
0.996164317816,0.00382289305071,3.22187479256e-06,9.56703910256e-06,2.26884806111e-10,2.2863344841e-08,6.78902501857e-08,0.251927704179,0.748072295821
0.996164317753,0.00382289305047,3.22187497245e-06,9.56703819757e-06,2.8020271966e-10,2.82362227759e-08,8.38443657031e-08,0.251927859758,0.748072140242
0.996164317692,0.00382289305024,3.22187519467e-06,9.56703708007e-06,3.46050334555e-10,3.48717227704e-08,1.03547649378e-07,0.251928051898,0.748071948102
0.996164317614,0.00382289304994,3.2218754691e-06,9.56703569994e-06,4.27372126226e-10,4.30665587727e-08,1.27881129996e-07,0.251928289191,0.748071710809
0.996164317516,0.00382289304956,3.22187580802e-06,9.56703399544e-06,5.27804519531e-10,5.31871713357e-08,1.57932864594e-07,0.251928582247,0.748071417753
0.996164317388,0.00382289304907,3.22187622656e-06,9.56703189034e-06,6.51838495659e-10,6.56861127512e-08,1.95046583e-07,0.25192894417,0.74807105583
0.996164317243,0.00382289304851,3.2218767435e-06,9.56702929066e-06,8.05020411036e-10,8.11222823701e-08,2.40881760118e-07,0.251929391144,0.748070608856
0.99616431706,0.00382289304781,3.2218773819e-06,9.56702608002e-06,9.94200007666e-10,1.00185916724e-07,2.97487799504e-07,0.251929943155,0.748070056845
0.996164316826,0.00382289304691,3.2218781703e-06,9.56702211481e-06,1.22783670447e-09,1.23729451575e-07,3.67395641417e-07,0.251930624886,0.748069375114
0.996164316536,0.0038228930458,3.22187914397e-06,9.56701721777e-06,1.51637786483e-09,1.52805635402e-07,4.53730885549e-07,0.251931466819,0.748068533181
0.996164316185,0.00382289304445,3.22188034648e-06,9.56701117002e-06,1.87272595355e-09,1.887145978e-07,5.60353477408e-07,0.251932506599,0.748067493401
