G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999675535111,0.000323383054896,2.72542161423e-07,8.09287412445e-07,5.40914786934e-12,5.45084098768e-10,1.61857284911e-09,0.251927228714,0.748072771286
0.999675535109,0.000323383054895,2.72542165716e-07,8.09287390882e-07,6.68029751199e-12,6.73178807549e-10,1.99893684197e-09,0.25192727256,0.74807272744
0.999675535107,0.000323383054894,2.72542171019e-07,8.09287364252e-07,8.25016726467e-12,8.31375744307e-10,2.46868604402e-09,0.251927326709,0.748072673291
0.999675535106,0.000323383054894,2.72542177567e-07,8.09287331365e-07,1.01889563238e-11,1.0267489176e-09,3.04882580651e-09,0.251927393584,0.748072606416
0.999675535103,0.000323383054893,2.72542185654e-07,8.09287290748e-07,1.25833606815e-11,1.26803472012e-09,3.7652976475e-09,0.251927476173,0.748072523827
0.9996755351,0.000323383054892,2.72542195641e-07,8.09287240587e-07,1.55404498646e-11,1.56602258479e-09,4.65013920327e-09,0.251927578172,0.748072421828
0.999675535097,0.000323383054891,2.72542207976e-07,8.09287178639e-07,1.91924547026e-11,1.93403744296e-09,5.74291674341e-09,0.25192770414,0.74807229586
0.999675535092,0.000323383054889,2.72542223209e-07,8.09287102132e-07,2.37026802152e-11,2.38853555683e-09,7.0924942887e-09,0.25192785971,0.74807214029
0.999675535086,0.000323383054888,2.72542242022e-07,8.09287007646e-07,2.92728080181e-11,2.94984036757e-09,8.75921841346e-09,0.251928051839,0.748071948161
0.999675535078,0.000323383054885,2.72542265255e-07,8.09286890955e-07,3.61519147793e-11,3.64305125991e-09,1.08176163875e-08,0.251928289117,0.748071710883
0.999675535069,0.000323383054882,2.72542293949e-07,8.09286746843e-07,4.46476099891e-11,4.49916587472e-09,1.3359728246e-08,0.251928582156,0.748071417844
0.99967553506,0.000323383054879,2.72542329386e-07,8.09286568866e-07,5.51397910714e-11,5.55646614707e-09,1.64992216892e-08,0.251928944058,0.748071055942
0.99967553505,0.000323383054876,2.72542373151e-07,8.09286349066e-07,6.80976308923e-11,6.86223003579e-09,2.03764736676e-08,0.251929391006,0.748070608994
0.999675535031,0.00032338305487,2.72542427199e-07,8.09286077607e-07,8.41005572506e-11,8.47484546774e-09,2.51648456597e-08,0.251929942984,0.748070057016
0.999675535013,0.000323383054864,2.7254249395e-07,8.09285742361e-07,1.03864162427e-10,1.04664209955e-08,3.10784329061e-08,0.251930624675,0.748069375325
0.999675534988,0.000323383054856,2.72542576387e-07,8.0928532833e-07,1.2827220128e-10,1.29260098617e-08,3.83816335951e-08,0.251931466558,0.748068533442
0.99967553496,0.000323383054847,2.72542678196e-07,8.09284817005e-07,1.58416108614e-10,1.59635915717e-08,4.7400965101e-08,0.251932506277,0.748067493723
0.999675534923,0.000323383054835,2.7254280393e-07,8.0928418552e-07,1.95643802675e-10,1.97149889078e-08,5.85396544364e-08,0.251933790319,0.748066209681
0.999675534877,0.00032338305482,2.72542959211e-07,8.09283405636e-07,2.41619956802e-10,2.4347940099e-08,7.22956534941e-08,0.251935376095,0.748064623905
0.99967553482,0.000323383054802,2.72543150982e-07,8.09282442484e-07,2.98400433881e-10,3.00695974239e-08,8.92838818182e-08,0.251937334503,0.748062665497
0.999675534753,0.00032338305478,2.72543387819e-07,8.09281253e-07,3.68524211323e-10,3.71357871831e-08,1.102636872e-07,0.2519397531,0.7480602469
0.999675534667,0.000323383054752,2.7254368031e-07,8.09279783992e-07,4.55126906019e-10,4.58624445424e-08,1.36172745441e-07,0.251942740009,0.748057259991
0.999675534563,0.000323383054718,2.72544041535e-07,8.09277969783e-07,5.62080974008e-10,5.66397336995e-08,1.68168905103e-07,0.251946428755,0.748053571245
0.999675534432,0.000323383054676,2.72544487642e-07,8.09275729254e-07,6.94168851478e-10,6.99494834434e-08,2.07681833057e-07,0.251950984223,0.748049015777
0.999675534269,0.000323383054623,2.72545038579e-07,8.0927296223e-07,8.57296775416e-10,8.63867157334e-08,2.56476746851e-07,0.251956610022,0.748043389978
0.999675534072,0.000323383054559,2.72545718977e-07,8.09269545006e-07,1.05875883914e-09,1.06686226877e-07,3.16733048133e-07,0.251963557574,0.748036442426
0.999675533827,0.00032338305448,2.72546559254e-07,8.09265324805e-07,1.3075630811e-09,1.31755405192e-07,3.91141318985e-07,0.251972137327,0.748027862673
0.999675533521,0.000323383054381,2.72547596973e-07,8.09260112964e-07,1.61483417437e-09,1.62714745438e-07,4.83022935709e-07,0.2519827326,0.7480172674
0.999675533149,0.000323383054261,2.72548878524e-07,8.09253676512e-07,1.99431070225e-09,2.00947860669e-07,5.96477522546e-07,0.251995816661,0.748004183339
0.999675532687,0.000323383054111,2.72550461189e-07,8.09245727747e-07,2.46295922338e-09,2.48163211097e-07,7.36564646702e-07,0.252011973797,0.747988026203
0.999675532116,0.000323383053927,2.72552415701e-07,8.09235911412e-07,3.04173253529e-09,3.06470284686e-07,9.09527586697e-07,0.252031925301,0.747968074699
0.999675531412,0.000323383053699,2.72554829407e-07,8.09223788834e-07,3.75650596675e-09,3.78473597024e-07,1.12306873445e-06,0.252056561503,0.747943438497
0.999675530542,0.000323383053418,2.72557810152e-07,8.09208818355e-07,4.63923345011e-09,4.67388654372e-07,1.38668826794e-06,0.252086981261,0.747913018739
0.999675529466,0.000323383053069,2.72561491097e-07,8.09190331195e-07,5.72937489146e-09,5.77184974787e-07,1.71210020723e-06,0.252124540587,0.747875459413
0.999675528139,0.00032338305264,2.72566036645e-07,8.09167501661e-07,7.07565839473e-09,7.12762424686e-07,2.11374289098e-06,0.252170912517,0.747829087483
0.999675526499,0.00032338305211,2.72571649756e-07,8.091393104e-07,8.73825572714e-09,8.8016854573e-07,2.60940431987e-06,0.25222816076,0.74777183924
0.999675524474,0.000323383051455,2.72578580972e-07,8.09104499095e-07,1.07914676759e-08,1.08686626987e-06,3.22098671953e-06,0.252298830194,0.747701169806
0.999675521974,0.000323383050646,2.72587139536e-07,8.09061514607e-07,1.33270384164e-08,1.34206350624e-06,3.9754390417e-06,0.252386057955,0.747613942045
0.999675518885,0.000323383049647,2.72597707093e-07,8.09008440161e-07,1.64582456388e-08,1.65711859578e-06,4.90589082893e-06,0.252493709599,0.747506290401
0.999675515072,0.000323383048413,2.72610754566e-07,8.08942910596e-07,2.03249471015e-08,2.04603863552e-06,6.05302565708e-06,0.252626545685,0.747373454315
0.999675510365,0.000323383046891,2.7262686292e-07,8.08862008074e-07,2.50998058906e-08,2.52609123997e-06,7.4667367668e-06,0.252790425119,0.747209574881
0.999675504549,0.000323383045009,2.72646748697e-07,8.0876213384e-07,3.09959675994e-08,3.11855448974e-06,9.20811068963e-06,0.252992552678,0.747007447322
0.999675497371,0.000323383042687,2.72671295375e-07,8.08638850712e-07,3.82765248842e-08,3.84963464833e-06,1.1351785354e-05,0.253241779237,0.746758220763
0.999675488505,0.000323383039819,2.72701591845e-07,8.08486689843e-07,4.72661807005e-08,4.75158669193e-06,1.39887252829e-05,0.253548964303,0.746451035697
