G,GS,ES1,ES2,Mis,FT,FA,fT,fA
0.989007814704,0.0109555350385,9.23315292415e-06,2.7416948628e-05,1.83250507761e-10,1.84662982553e-08,5.4833830306e-08,0.251927228748,0.748072771252
0.989007814626,0.0109555350376,9.23315306889e-06,2.74169478954e-05,2.26314373454e-10,2.28058764992e-08,6.77197591879e-08,0.251927272601,0.748072727399
0.989007814623,0.0109555350376,9.2331532485e-06,2.74169469932e-05,2.79498245705e-10,2.81652546633e-08,8.36338702091e-08,0.251927326761,0.748072673239
0.989007814495,0.0109555350362,9.23315346916e-06,2.74169458755e-05,3.45180324998e-10,3.4784085214e-08,1.03287780296e-07,0.251927393647,0.748072606353
0.989007814406,0.0109555350352,9.23315374232e-06,2.74169444971e-05,4.26297688517e-10,4.29583386913e-08,1.27560333311e-07,0.251927476252,0.748072523748
0.989007814321,0.0109555350342,9.23315407991e-06,2.74169427955e-05,5.26477625724e-10,5.30535382978e-08,1.57536896709e-07,0.251927578268,0.748072421732
0.989007814207,0.010955535033,9.23315449674e-06,2.74169406937e-05,6.50199837877e-10,6.55211045665e-08,1.94557892141e-07,0.251927704259,0.748072295741
0.989007814054,0.0109555350313,9.23315501142e-06,2.74169380977e-05,8.02996754177e-10,8.09185409076e-08,2.40278729428e-07,0.251927859857,0.748072140143
0.989007813913,0.0109555350297,9.2331556475e-06,2.7416934893e-05,9.91700921905e-10,9.99343625914e-08,2.96743823065e-07,0.251928052021,0.748071947979
0.989007813649,0.0109555350268,9.23315643221e-06,2.74169309326e-05,1.22475053243e-09,1.23418883751e-07,3.66477999499e-07,0.251928289342,0.748071710658
0.989007813368,0.0109555350237,9.23315740176e-06,2.74169260429e-05,1.51256674576e-09,1.52422239003e-07,4.52599380739e-07,0.251928582434,0.748071417566
0.989007813029,0.0109555350199,9.23315859921e-06,2.74169200043e-05,1.86801968427e-09,1.88241339447e-07,5.58958788329e-07,0.251928944401,0.748071055599
0.989007812619,0.0109555350154,9.23316007815e-06,2.74169125468e-05,2.30700393374e-09,2.32477862465e-07,6.90311896784e-07,0.251929391429,0.748070608571
0.989007812073,0.0109555350093,9.23316190426e-06,2.74169033357e-05,2.84914928407e-09,2.87109867668e-07,8.52531826648e-07,0.251929943507,0.748070056493
0.989007811468,0.0109555350026,9.23316416016e-06,2.7416891962e-05,3.51869849044e-09,3.54580240503e-07,1.05287167231e-06,0.251930625321,0.748069374679
