GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999136637753,0.000845015880221,1.83418334557e-05,4.31678856838e-09,1.69000917227e-06,3.66836562665e-08,0.978754961126,0.0212450388744
0.999136636544,0.000845015878962,1.83418346165e-05,5.33123388135e-09,2.08715476921e-06,4.53043152669e-08,0.978754895887,0.0212451041132
0.999136635903,0.00084501587813,1.83418360657e-05,6.58407384817e-09,2.57762613906e-06,5.59508290634e-08,0.978754815317,0.0212451846825
0.999136634129,0.00084501587627,1.83418378375e-05,8.13133120166e-09,3.18335302521e-06,6.90992733812e-08,0.978754715815,0.0212452841848
0.999136632846,0.000845015874741,1.83418400423e-05,1.00421940419e-08,3.93141772057e-06,8.53376019222e-08,0.978754592931,0.0212454070688
0.999136629937,0.000845015871733,1.83418427409e-05,1.24021096373e-08,4.85526539416e-06,1.05391937161e-07,0.978754441171,0.0212455588286
0.999136627577,0.00084501586906,1.83418460963e-05,1.53166054142e-08,5.99619863957e-06,1.30159040705e-07,0.978754253751,0.0212457462489
0.999136623806,0.000845015865035,1.83418502245e-05,1.89160076888e-08,7.40522276823e-06,1.60746412556e-07,0.978754022292,0.0212459777082
0.999136618597,0.000845015859597,1.83418553128e-05,2.33612694862e-08,9.14532421007e-06,1.98521815258e-07,0.978753736446,0.0212462635535
0.999136613012,0.000845015853598,1.83418616123e-05,2.88511678255e-08,1.12942833816e-05,2.4517443557e-07,0.978753383438,0.0212466165616
0.999136607212,0.000845015847119,1.83418694124e-05,3.5631192319e-08,1.3948147143e-05,3.02790418694e-07,0.97875294749,0.0212470525102
0.99913659813,0.000845015837493,1.83418790102e-05,4.40045225125e-08,1.72255150933e-05,3.73946152282e-07,0.978752409118,0.0212475908816
0.999136588567,0.000845015827004,1.83418908939e-05,5.43455853908e-08,2.12728300445e-05,4.61823476253e-07,0.978751744268,0.021248255732
0.999136574755,0.000845015812357,1.83419055335e-05,6.7116797957e-08,2.62709063743e-05,5.70351958757e-07,0.978750923236,0.0212490767638
0.999136557519,0.000845015794117,1.83419236102e-05,8.28892454612e-08,3.24429853443e-05,7.04384616446e-07,0.978749909351,0.0212500906491
0.999136539609,0.000845015774446,1.83419459968e-05,1.02368218467e-07,4.00646715557e-05,8.69914923996e-07,0.978748657338,0.0212513426617
0.999136515544,0.000845015748507,1.83419736086e-05,1.26424750051e-07,4.94761863085e-05,1.07434481112e-06,0.97874711131,0.0212528886903
0.999136485404,0.000845015716117,1.83420077014e-05,1.56134566621e-07,6.10974744062e-05,1.32681565812e-06,0.97874520228,0.0212547977199
0.99913644946,0.000845015677197,1.83420498295e-05,1.92826190494e-07,7.54468192701e-05,1.63861705984e-06,0.97874284511,0.0212571548901
0.999136403655,0.000845015627935,1.83421018318e-05,2.38140346016e-07,9.31637697894e-05,2.0236916421e-06,0.978739934739,0.0212600652614
