GS,ES1,ES2,Mis,FT,FA,fT,fA
0.994795495583,0.00191222463816,0.00329225411585,2.60223937701e-08,3.82444808781e-06,6.58450470872e-06,0.367419101861,0.632580898139
0.994795490079,0.00191222464179,0.00329225408732,3.21376561523e-08,4.72319305249e-06,8.13186222234e-06,0.367419116566,0.632580883434
0.994795480637,0.0019122246412,0.00329225404334,3.96900050081e-08,5.83314289191e-06,1.00428481509e-05,0.367419134727,0.632580865273
0.994795474565,0.00191222465121,0.00329225400751,4.90171559419e-08,7.20393070678e-06,1.24029149529e-05,0.367419157157,0.632580842843
0.994795461475,0.00191222465282,0.00329225394477,6.05361868772e-08,8.8968532065e-06,1.53175960471e-05,0.367419184856,0.632580815144
0.994795452035,0.00191222466774,0.00329225388954,7.47621902142e-08,1.09876119291e-05,1.89172252675e-05,0.367419219066,0.632580780934
0.994795432348,0.00191222467073,0.00329225379476,9.23313032862e-08,1.35696979065e-05,2.33627640934e-05,0.367419261314,0.632580738686
0.994795408521,0.00191222467536,0.00329225367932,1.14029157131e-07,1.67585726126e-05,2.88529997716e-05,0.367419313491,0.632580686509
0.994795382593,0.00191222468781,0.00329225354832,1.40826005849e-07,2.0696830688e-05,3.56334336674e-05,0.367419377929,0.632580622071
0.994795350745,0.00191222470351,0.00329225338712,1.73920112361e-07,2.55605760076e-05,4.40072584801e-05,0.36741945751,0.63258054249
0.994795317812,0.00191222473521,0.00329225320921,2.14791332731e-07,3.15672964848e-05,5.43489156144e-05,0.367419555792,0.632580444208
0.994795264635,0.00191222475031,0.0032922529481,2.65267283384e-07,3.89855879663e-05,6.71208358012e-05,0.36741967717,0.63258032283
0.994795195448,0.00191222476221,0.00329225261401,3.27605074699e-07,4.81471655948e-05,8.28941175568e-05,0.367419827072,0.632580172928
0.994795111766,0.0019122247803,0.00329225220725,4.04592237038e-07,5.94616954031e-05,0.000102374060486,0.367420012199,0.632579987801
0.994795022005,0.00191222482875,0.00329225174986,4.99671373481e-07,7.34351123012e-05,0.000126431699977,0.367420240831,0.632579759169
0.994794903178,0.00191222487327,0.0032922511586,6.17094081421e-07,9.06922386268e-05,0.000156142744459,0.367420523189,0.632579476811
0.994794759852,0.00191222493483,0.00329225043973,7.62111094303e-07,0.000112004724338,0.000192835672341,0.367420871899,0.632579128101
0.994794578498,0.0019122250025,0.00329224953754,9.41207050546e-07,0.000138325543602,0.000238151113145,0.367421302551,0.632578697449
0.994794369548,0.00191222511495,0.00329224847306,1.16239049479e-06,0.000170831605158,0.00029411519213,0.3674218344,0.6325781656
0.994794094722,0.00191222522159,0.00329224710291,1.43555191255e-06,0.000210976355902,0.000363230071142,0.367422491225,0.632577508775
0.99479376554,0.00191222537294,0.00329224544463,1.77290609867e-06,0.000260554770457,0.00044858580055,0.367423302389,0.632576697611
0.994793346634,0.00191222553609,0.00329224335573,2.18953822168e-06,0.000321783567946,0.00055399836675,0.367424304154,0.632575695846
0.994792828028,0.00191222573515,0.00329224077178,2.70407846467e-06,0.000397400305888,0.000684180208309,0.3674255413,0.6325744587
