GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999276567248,0.000686018707847,3.74103676569e-05,3.61714537752e-09,1.37203156176e-06,7.48207188973e-08,0.948287244042,0.0517127559583
0.99927656645,0.000686018701443,3.74103707308e-05,4.46717452068e-09,1.69445726402e-06,9.24035906661e-08,0.948287192915,0.051712807085
0.999276565319,0.000686018693436,3.74103745215e-05,5.51696050087e-09,2.09265210538e-06,1.14118438769e-07,0.948287129774,0.0517128702264
0.999276563933,0.000686018683553,3.74103792035e-05,6.8134461696e-09,2.58442136069e-06,1.40936278435e-07,0.948287051794,0.0517129482059
0.999276562526,0.000686018671557,3.74103849971e-05,8.41460594732e-09,3.19175429665e-06,1.74056313917e-07,0.94828695549,0.0517130445102
0.999276560526,0.000686018656562,3.74103921424e-05,1.03920382322e-08,3.94180727623e-06,2.14959562961e-07,0.948286836554,0.0517131634456
0.999276558231,0.000686018638164,3.74104009734e-05,1.2834167047e-08,4.86811783286e-06,2.65475083597e-07,0.94828668967,0.0517133103301
0.999276555209,0.000686018615314,3.74104118727e-05,1.58501960412e-08,6.01210393578e-06,3.27861763781e-07,0.948286508269,0.0517134917314
0.99927655164,0.000686018587206,3.74104253395e-05,1.95749917147e-08,7.42491543614e-06,4.0490933254e-07,0.94828628424,0.0517137157603
0.999276546643,0.000686018552087,3.74104419488e-05,2.41751141491e-08,9.16972034183e-06,5.00063108167e-07,0.948286007567,0.0517139924335
0.999276541012,0.000686018509086,3.74104624815e-05,2.98562650469e-08,1.13245280305e-05,6.17578064719e-07,0.948285665879,0.0517143341211
0.999276534328,0.000686018456166,3.74104878496e-05,3.68724859287e-08,1.39856753054e-05,7.62709102516e-07,0.948285243901,0.0517147560995
0.999276525279,0.000686018390265,3.74105191494e-05,4.55375179438e-08,1.72721308297e-05,9.41946034597e-07,0.948284722766,0.0517152772338
0.999276514807,0.00068601830936,3.7410557831e-05,5.62388313782e-08,2.13308098487e-05,1.16330380042e-06,0.948284079179,0.0517159208212
0.999276501596,0.00068601820925,3.74106055923e-05,6.94549517262e-08,2.63431357349e-05,1.43668087595e-06,0.948283284369,0.051716715631
0.999276485604,0.000686018085838,3.74106645897e-05,8.57768577442e-08,3.25331405894e-05,1.77430192322e-06,0.94828230281,0.0517176971895
0.999276465392,0.000686017933107,3.74107374341e-05,1.05934407616e-07,4.01774646813e-05,2.19126446255e-06,0.948281090634,0.0517189093662
0.999276440512,0.00068601774454,3.74108273999e-05,1.30828975574e-07,4.96176988006e-05,2.70621403256e-06,0.948279593669,0.0517204063311
0.999276409469,0.000686017511443,3.74109384957e-05,1.61573757586e-07,6.12756160791e-05,3.34217802215e-06,0.948277745029,0.0517222549708
0.999276372034,0.000686017224188,3.74110757327e-05,1.99543549239e-07,7.56719669979e-05,4.12759549204e-06,0.94827546213,0.0517245378703
0.999276325414,0.000686016869163,3.74112452056e-05,2.46436220102e-07,9.3449665682e-05,5.09758902469e-06,0.948272643009,0.0517273569909
0.999276267739,0.00068601643064,3.74114545005e-05,3.04348635388e-07,0.000115402387148,6.29553554933e-06,0.948269161792,0.0517308382082
0.999276196622,0.000686015889141,3.74117129834e-05,3.75870417659e-07,0.000142509826219,7.77500639001e-06,0.948264863093,0.0517351369066
0.99927610859,0.000686015220254,3.74120322012e-05,4.64199741437e-07,0.000175981153423,9.60216337271e-06,0.948259555123,0.0517404448766
0.999275999877,0.000686014394183,3.74124264341e-05,5.73286338461e-07,0.00021730854798,1.18587182538e-05,0.948253001187,0.0517469988131
0.999275865255,0.000686013373743,3.74129132962e-05,7.08008105793e-07,0.000268333104957,1.46455879397e-05,0.94824490922,0.0517550907802
0.999275700065,0.000686012114238,3.74135146077e-05,8.7438921511e-07,0.000331325918603,1.80874092505e-05,0.948234918909,0.0517650810907
0.999275495182,0.000686010558159,3.74142571898e-05,1.07986946634e-06,0.000409087742969,2.23381153368e-05,0.948222585859,0.0517774141414
0.999275242603,0.000686008636727,3.74151742884e-05,1.33363693943e-06,0.000505071354908,2.75878239564e-05,0.948207362135,0.051792637865
0.999274930856,0.000686006263907,3.7416306901e-05,1.64703879658e-06,0.000623531575538,3.40713461623e-05,0.948188572408,0.0518114275925
0.999274544914,0.000686003332864,3.74177056254e-05,2.03408860526e-06,0.000769708892684,4.20786974207e-05,0.948165384722,0.0518346152782
0.999274068427,0.00068599971318,3.74194330297e-05,2.5120928565e-06,0.000950053735625,5.1968083272e-05,0.948136774777,0.0518632252232
0.999273480682,0.000685995243438,3.74215663612e-05,3.10242465791e-06,0.00117249967973,6.41819430024e-05,0.948101482368,0.051898517632
0.999272753935,0.000685989722814,3.74242009319e-05,3.83147916687e-06,0.00144679518159,7.92667734867e-05,0.948057958445,0.0519420415555
0.999271857811,0.000685982905985,3.74274545871e-05,4.73185346424e-06,0.00178490478297,9.78976273893e-05,0.948004301009,0.0519956989914
0.99927075046,0.000685974487029,3.74314726866e-05,5.84380347743e-06,0.00220149189551,0.000120908390573,0.947938177885,0.0520618221146
0.99926938257,0.000685964089811,3.74364348128e-05,7.21704307114e-06,0.00271449622955,0.000149329211005,0.947856734251,0.0521432657489
0.999267693128,0.000685951249796,3.74425627073e-05,8.91296549255e-06,0.00334581913162,0.000184432776326,0.947756482785,0.0522435172149
0.999265606881,0.000685935393469,3.74501301653e-05,1.10073862558e-05,0.00412212934147,0.000227791548163,0.947633174501,0.0523668254993
0.99926303077,0.00068591581262,3.74594752289e-05,1.35939296714e-05,0.00507579924067,0.000281348569873,0.947481648851,0.0525183511494
0.99925984907,0.000685891632325,3.74710152123e-05,1.67882097806e-05,0.00624597694247,0.000347505100979,0.947295662794,0.0527043372058
0.999255919977,0.000685861773214,3.74852653308e-05,2.07329916851e-05,0.00767979188487,0.000429229129672,0.947067700416,0.0529322995837
0.999251067521,0.000685824902295,3.75028615229e-05,2.56045624388e-05,0.00943368041307,0.000530189812601,0.946788767759,0.0532112322414
0.999245075357,0.000685779374912,3.75245887214e-05,3.16205941421e-05,0.011574803626,0.000654924154462,0.94644818215,0.0535518178504
0.999237675448,0.000685723160734,3.75514155423e-05,3.90498471318e-05,0.0141825140005,0.00080904382549,0.946033371923,0.0539666280769
