GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999463888958,0.000528610944392,7.49708371592e-06,2.68054014054e-09,1.0572179408e-06,1.49941666325e-08,0.98601567122,0.0139843287803
0.999463888847,0.000528610933945,7.49708432379e-06,3.31046701281e-09,1.30566298528e-06,1.85177970606e-08,0.986015657901,0.0139843420985
0.999463888308,0.00052861092083,7.49708507149e-06,4.0884266665e-09,1.61249199922e-06,2.28694812968e-08,0.986015641453,0.0139843585466
0.999463886798,0.000528610904186,7.49708598857e-06,5.04920678502e-09,1.99142489087e-06,2.82438123167e-08,0.98601562114,0.0139843788599
0.99946388577,0.000528610884074,7.49708712743e-06,6.2357701588e-09,2.45940558123e-06,3.48811126868e-08,0.986015596053,0.0139844039468
0.99946388469,0.000528610859335,7.49708853536e-06,7.70117581098e-09,3.03735955002e-06,4.30781810026e-08,0.986015565071,0.0139844349291
0.999463882516,0.000528610828338,7.49709026783e-06,9.51095160739e-09,3.75112936699e-06,5.32015639174e-08,0.986015526808,0.0139844731922
0.999463880389,0.000528610790353,7.49709241163e-06,1.17460244498e-08,4.63263001089e-06,6.57039473055e-08,0.986015479553,0.013984520447
0.999463877668,0.00052861074339,7.49709505851e-06,1.45063389964e-08,5.72127555485e-06,8.1144399116e-08,0.986015421193,0.0139845788067
0.999463873852,0.000528610685152,7.497098324e-06,1.79153268235e-08,7.06574097675e-06,1.00213369764e-07,0.986015349119,0.0139846508808
0.999463869897,0.000528610613627,7.49710236255e-06,2.21254258419e-08,8.72613774733e-06,1.23763567964e-07,0.986015260108,0.013984739892
0.9994638649,0.000528610525234,7.49710734932e-06,2.73248966636e-08,1.07767002589e-05,1.52848092298e-07,0.986015150179,0.0139848498205
0.999463857526,0.000528610415434,7.49711349896e-06,3.3746240855e-08,1.33091030035e-05,1.88767524721e-07,0.986015014418,0.0139849855817
0.999463850854,0.000528610281118,7.49712111202e-06,4.16765976062e-08,1.6436556457e-05,2.33128092994e-07,0.986014846754,0.013985153246
0.999463841305,0.000528610114546,7.49713050432e-06,5.14705829531e-08,2.0298863893e-05,2.8791349946e-07,0.98601463969,0.0139853603102
0.999463829437,0.000528609908789,7.49714210324e-06,6.35661469259e-08,2.50686647795e-05,3.55573636408e-07,0.986014383967,0.0139856160327
0.999463814296,0.000528609654424,7.49715642427e-06,7.85041563029e-08,3.09591419278e-05,4.39134149331e-07,0.986014068153,0.0139859318471
0.999463795425,0.000528609340193,7.49717410943e-06,9.6952579405e-08,3.82335350991e-05,5.42331754746e-07,0.986013678126,0.0139863218736
0.999463773906,0.000528608953063,7.49719596398e-06,1.19736353983e-07,4.72168829209e-05,6.69781366038e-07,0.98601319645,0.0139868035498
0.99946374599,0.000528608474249,7.49722294424e-06,1.4787427254e-07,5.83105124924e-05,8.27182500921e-07,0.98601260159,0.01398739841
0.999463712477,0.000528607883425,7.49725627201e-06,1.82624536675e-07,7.20099175676e-05,1.02157422381e-06,0.986011866953,0.0139881330472
0.99946366951,0.000528607152925,7.49729741986e-06,2.2554101278e-07,8.89268108627e-05,1.26165001388e-06,0.986010959699,0.0139890403009
0.999463617404,0.000528606251266,7.49734824447e-06,2.78542708717e-07,0.000109816319841,1.55814668726e-06,0.986009839276,0.0139901607239
0.99946355336,0.000528605137884,7.49741101491e-06,3.43999571122e-07,0.000135610511309,1.92432476442e-06,0.986008455608,0.0139915443925
0.999463474027,0.000528603762739,7.49748853422e-06,4.2483844202e-07,0.000167459702182,2.37656183492e-06,0.986006746859,0.013993253141
0.999463375549,0.000528602064179,7.49758426621e-06,5.24673907227e-07,0.000206783336703,2.9350855139e-06,0.98600463668,0.0139953633204
0.99946325406,0.000528599966542,7.49770249528e-06,6.47969882957e-07,0.000255332604676,3.62487887919e-06,0.986002030799,0.0139979692011
0.99946310415,0.000528597376053,7.49784850775e-06,8.00239156537e-07,0.000315267447025,4.47679903654e-06,0.985998812827,0.0140011871728
0.999462919203,0.000528594176936,7.49802883245e-06,9.88289793159e-07,0.000389251159881,5.52895909612e-06,0.985994839075,0.0140051609246
0.999462690905,0.000528590226142,7.49825153104e-06,1.22052940668e-06,0.000480566473499,6.82843573973e-06,0.985989932167,0.0140100678327
0.999462408317,0.000528585346657,7.49852655404e-06,1.50734087059e-06,0.000593257760093,8.43337932557e-06,0.985983873165,0.014016126835
0.999462060182,0.000528579321078,7.49886620634e-06,1.86154623065e-06,0.000732304919324,1.04156218232e-05,0.985976391865,0.0140236081355
0.999461629141,0.000528571879106,7.49928565718e-06,2.29897947826e-06,0.000903835481364,1.28639004794e-05,0.985967154845,0.0140328451553
0.999461097966,0.000528562689185,7.49980367009e-06,2.83919372589e-06,0.00111538256994,1.58878436496e-05,0.985955750757,0.014044249243
0.999460441768,0.000528551339987,7.50044338769e-06,3.50633420037e-06,0.0013761974488,1.96228999666e-05,0.985941672233,0.0140583277669
0.99945963108,0.000528537324276,7.50123339587e-06,4.33021589784e-06,0.00169762645386,2.42364364113e-05,0.985924293654,0.0140757063458
0.999458630197,0.000528520016105,7.50220899591e-06,5.34765369109e-06,0.00209356288439,2.99352852486e-05,0.985902843866,0.0140971561344
0.999457393823,0.00052849864199,7.50341376461e-06,6.60410380114e-06,0.00258098472602,3.69750886163e-05,0.985876372735,0.0141236272649
0.999455867507,0.000528472247756,7.50490151329e-06,8.15568920521e-06,0.00318058845034,4.56718760495e-05,0.985843710231,0.0141562897687
0.999453981565,0.000528439654159,7.50673865439e-06,1.0071698182e-05,0.00391752691718,5.64164185899e-05,0.98580341645,0.0141965835502
0.999451653929,0.000528399407625,7.50900719724e-06,1.24376658401e-05,0.00482225487583,6.96920419813e-05,0.985753720727,0.0142462792733
0.999448779038,0.000528349711806,7.51180833079e-06,1.53591731898e-05,0.00593147726311,8.6096755242e-05,0.985692447658,0.0143075523424
0.99944523004,0.000528288351657,7.51526695677e-06,1.89665292748e-05,0.00728918243239,0.000106370778102,0.985616927487,0.0143830725132
