Fit #1
N1 Pars,Fit Value,Error
pB (%),0.223,0.009
dwB (ppm),18.51,0.43
kexAB (s^-1),6105,429
R1 (s^-1),3.19,0.04
R2 (s^-1),6.53,0.26
Red. Chi-sq,0.62
